source,target,count,probability
0,1,196,0.14275309541150766
0,8,275,0.20029133284777859
0,9,8,0.005826656955571741
0,4,198,0.1442097596504006
0,2,265,0.1930080116533139
0,12,6,0.004369992716678805
0,6,12,0.00873998543335761
0,5,8,0.005826656955571741
0,13,1,0.0007283321194464676
0,10,14,0.010196649672250545
0,3,6,0.004369992716678805
0,11,1,0.0007283321194464676
0,7,1,0.0007283321194464676
1,0,134,0.5583333333333333
1,9,14,0.058333333333333334
1,8,2,0.008333333333333333
1,5,12,0.05
1,3,19,0.07916666666666666
1,6,1,0.004166666666666667
1,4,3,0.0125
1,2,4,0.016666666666666666
8,9,15,0.043227665706051875
8,1,8,0.023054755043227664
8,0,148,0.4265129682997118
8,12,18,0.05187319884726225
8,13,2,0.005763688760806916
8,10,61,0.17579250720461095
8,4,1,0.002881844380403458
8,11,2,0.005763688760806916
8,2,3,0.008645533141210375
8,14,2,0.005763688760806916
9,5,2,0.046511627906976744
9,8,7,0.16279069767441862
9,1,5,0.11627906976744186
9,0,5,0.11627906976744186
9,13,7,0.16279069767441862
9,11,3,0.06976744186046512
4,0,144,0.555984555984556
4,12,7,0.02702702702702703
4,6,32,0.12355212355212356
4,2,9,0.03474903474903475
4,5,13,0.05019305019305019
4,8,2,0.007722007722007722
4,13,1,0.003861003861003861
4,9,1,0.003861003861003861
4,1,2,0.007722007722007722
4,7,1,0.003861003861003861
4,14,1,0.003861003861003861
13,4,1,0.07692307692307693
13,0,1,0.07692307692307693
13,9,3,0.23076923076923078
13,5,1,0.07692307692307693
13,12,3,0.23076923076923078
13,1,1,0.07692307692307693
13,15,1,0.07692307692307693
12,8,11,0.3055555555555556
12,0,2,0.05555555555555555
12,4,7,0.19444444444444445
12,13,1,0.027777777777777776
12,5,1,0.027777777777777776
12,14,3,0.08333333333333333
12,6,1,0.027777777777777776
2,0,187,0.5701219512195121
2,3,14,0.042682926829268296
2,4,7,0.021341463414634148
2,6,17,0.051829268292682924
2,10,27,0.08231707317073171
2,8,4,0.012195121951219513
2,7,2,0.006097560975609756
2,11,2,0.006097560975609756
2,1,4,0.012195121951219513
6,4,24,0.3582089552238806
6,2,17,0.2537313432835821
6,0,4,0.05970149253731343
6,8,2,0.029850746268656716
6,7,1,0.014925373134328358
6,10,1,0.014925373134328358
3,1,11,0.25
3,7,5,0.11363636363636363
3,0,6,0.13636363636363635
3,2,7,0.1590909090909091
3,6,1,0.022727272727272728
3,11,1,0.022727272727272728
5,4,12,0.3076923076923077
5,7,2,0.05128205128205128
5,1,9,0.23076923076923078
5,9,1,0.02564102564102564
5,13,1,0.02564102564102564
7,5,2,0.16666666666666666
7,3,3,0.25
7,2,1,0.08333333333333333
7,6,1,0.08333333333333333
7,4,1,0.08333333333333333
10,8,36,0.3364485981308411
10,2,20,0.18691588785046728
10,0,5,0.04672897196261682
10,6,1,0.009345794392523364
10,11,3,0.028037383177570093
10,3,1,0.009345794392523364
11,10,3,0.25
11,8,1,0.08333333333333333
11,3,1,0.08333333333333333
11,0,1,0.08333333333333333
11,9,1,0.08333333333333333
14,10,1,0.16666666666666666
14,12,2,0.3333333333333333
14,8,1,0.16666666666666666
14,6,1,0.16666666666666666
15,8,1,1.0
